"texture1","texture2","concept1","concept2","semantic_distance","identifier","group","perceptual_distance"
"D1","D103","comfort","speed",0.043795305977028,"comfort_speed_D1_D103","carquals",1.38444741029916
"D1","D103","comfort","reliability",0.602962910386731,"comfort_reliability_D1_D103","carquals",1.38444741029916
"D1","D103","efficiency","reliability",0.31777786503035,"efficiency_reliability_D1_D103","carquals",1.38444741029916
"D1","D103","reliability","speed",0.540549795921731,"reliability_speed_D1_D103","carquals",1.38444741029916
"D1","D103","comfort","safety",0.240076951084894,"comfort_safety_D1_D103","carquals",1.38444741029916
"D1","D103","comfort","efficiency",0.299047434994745,"comfort_efficiency_D1_D103","carquals",1.38444741029916
"D1","D103","safety","speed",0.188295482376472,"safety_speed_D1_D103","carquals",1.38444741029916
"D1","D103","reliability","safety",0.371584676117572,"reliability_safety_D1_D103","carquals",1.38444741029916
"D1","D103","efficiency","safety",0.0577946872741495,"efficiency_safety_D1_D103","carquals",1.38444741029916
"D1","D103","efficiency","speed",0.24506010726437,"efficiency_speed_D1_D103","carquals",1.38444741029916
"D1","D14","efficiency","safety",0.0195388039827828,"efficiency_safety_D1_D14","carquals",1.90397489490527
"D1","D14","comfort","speed",0.239977947533156,"comfort_speed_D1_D14","carquals",1.90397489490527
"D1","D14","comfort","reliability",0.401186901561896,"comfort_reliability_D1_D14","carquals",1.90397489490527
"D1","D14","efficiency","speed",0.151465694187654,"efficiency_speed_D1_D14","carquals",1.90397489490527
"D1","D14","efficiency","reliability",0.304953640142615,"efficiency_reliability_D1_D14","carquals",1.90397489490527
"D1","D14","reliability","safety",0.282208934932707,"reliability_safety_D1_D14","carquals",1.90397489490527
"D1","D14","safety","speed",0.131291872556709,"safety_speed_D1_D14","carquals",1.90397489490527
"D1","D14","reliability","speed",0.140650723345519,"reliability_speed_D1_D14","carquals",1.90397489490527
"D1","D14","comfort","safety",0.107843659440795,"comfort_safety_D1_D14","carquals",1.90397489490527
"D1","D14","comfort","efficiency",0.0887302830841763,"comfort_efficiency_D1_D14","carquals",1.90397489490527
"D1","D22","safety","speed",0.239160059061087,"safety_speed_D1_D22","carquals",1.63373585750581
"D1","D22","reliability","speed",0.634527386049694,"reliability_speed_D1_D22","carquals",1.63373585750581
"D1","D22","comfort","reliability",0.563213762469343,"comfort_reliability_D1_D22","carquals",1.63373585750581
"D1","D22","comfort","safety",0.100050133351162,"comfort_safety_D1_D22","carquals",1.63373585750581
"D1","D22","reliability","safety",0.430736966318851,"reliability_safety_D1_D22","carquals",1.63373585750581
"D1","D22","efficiency","reliability",0.403345898127437,"efficiency_reliability_D1_D22","carquals",1.63373585750581
"D1","D22","comfort","speed",0.162679779140446,"comfort_speed_D1_D22","carquals",1.63373585750581
"D1","D22","comfort","efficiency",0.133286255999998,"comfort_efficiency_D1_D22","carquals",1.63373585750581
"D1","D22","efficiency","speed",0.268804815195016,"efficiency_speed_D1_D22","carquals",1.63373585750581
"D1","D22","efficiency","safety",0.030462459424131,"efficiency_safety_D1_D22","carquals",1.63373585750581
