"texture1","texture2","concept1","concept2","semantic_distance","identifier","group","max_capacity","entropy_c1","entropy_c2","mean_entropy","TV","group_nTV","perceptual_distance"
"D1","D103","dawn","noon",0.13392873146816,"dawn_noon_D1_D103","time",0.230440842998095,3.96627159292593,3.96325714382967,3.9647643683778,0.0493911542201371,0.0812342706037773,1.38444741029916
"D1","D103","dawn","dusk",0.011464024004366,"dawn_dusk_D1_D103","time",0.247235899130962,3.96627159292593,3.96331492027355,3.96479325659974,0.0495329504664049,0.081467484725249,1.38444741029916
"D1","D103","day","dusk",0.0529144162166328,"day_dusk_D1_D103","time",0.453685510038763,3.96205944855699,3.96331492027355,3.96268718441527,0.0849954865875595,0.139793176866851,1.38444741029916
"D1","D103","dusk","noon",0.14492909199464,"dusk_noon_D1_D103","time",0.360665979901625,3.96331492027355,3.96325714382967,3.96328603205161,0.0699765986847953,0.115091417547294,1.38444741029916
"D1","D103","dawn","night",0.0952621327880938,"dawn_night_D1_D103","time",0.331492918492529,3.96627159292593,3.9637283654884,3.96499997920716,0.0506933094876511,0.0833759422257423,1.38444741029916
"D1","D103","dawn","day",0.0416692684258129,"dawn_day_D1_D103","time",0.351587973846268,3.96627159292593,3.96205944855699,3.96416552074146,0.0562502922226358,0.0925155836526725,1.38444741029916
"D1","D103","night","noon",0.227270049855097,"night_noon_D1_D103","time",0.408932286672168,3.9637283654884,3.96325714382967,3.96349275465903,0.0729618619446067,0.120001318668255,1.38444741029916
"D1","D103","dusk","night",0.0836398402542726,"dusk_night_D1_D103","time",0.253141263437557,3.96331492027355,3.9637283654884,3.96352164288097,0.0368659553454115,0.0606339139038572,1.38444741029916
"D1","D103","day","night",0.135703121685012,"day_night_D1_D103","time",0.436780202935217,3.96205944855699,3.9637283654884,3.96289390702269,0.0856893549949318,0.140934391217029,1.38444741029916
"D1","D103","day","noon",0.0913186820749665,"day_noon_D1_D103","time",0.26438905327819,3.96205944855699,3.96325714382967,3.96265829619333,0.0516518709013428,0.0849525005892725,1.38444741029916
"D1","D14","day","night",0.28286926652823,"day_night_D1_D14","time",0.436780202935217,3.96205944855699,3.9637283654884,3.96289390702269,0.0856893549949318,0.140934391217029,1.90397489490527
"D1","D14","dawn","noon",0.103203230739234,"dawn_noon_D1_D14","time",0.230440842998095,3.96627159292593,3.96325714382967,3.9647643683778,0.0493911542201371,0.0812342706037773,1.90397489490527
"D1","D14","dawn","dusk",0.112615637248297,"dawn_dusk_D1_D14","time",0.247235899130962,3.96627159292593,3.96331492027355,3.96479325659974,0.0495329504664049,0.081467484725249,1.90397489490527
"D1","D14","day","noon",0.0801878301179353,"day_noon_D1_D14","time",0.26438905327819,3.96205944855699,3.96325714382967,3.96265829619333,0.0516518709013428,0.0849525005892725,1.90397489490527
"D1","D14","day","dusk",0.292048386853794,"day_dusk_D1_D14","time",0.453685510038763,3.96205944855699,3.96331492027355,3.96268718441527,0.0849954865875595,0.139793176866851,1.90397489490527
"D1","D14","dusk","night",0.00953729069937737,"dusk_night_D1_D14","time",0.253141263437557,3.96331492027355,3.9637283654884,3.96352164288097,0.0368659553454115,0.0606339139038572,1.90397489490527
"D1","D14","night","noon",0.204901897097756,"night_noon_D1_D14","time",0.408932286672168,3.9637283654884,3.96325714382967,3.96349275465903,0.0729618619446067,0.120001318668255,1.90397489490527
"D1","D14","dusk","noon",0.214255199383462,"dusk_noon_D1_D14","time",0.360665979901625,3.96331492027355,3.96325714382967,3.96328603205161,0.0699765986847953,0.115091417547294,1.90397489490527
"D1","D14","dawn","night",0.103105330542254,"dawn_night_D1_D14","time",0.331492918492529,3.96627159292593,3.9637283654884,3.96499997920716,0.0506933094876511,0.0833759422257423,1.90397489490527
